,bioregion,country,endemicSpeciesCount,genusCount,georank,id,imageCount,imagedSpecimenCount,introducedSpeciesCount,name,parent,region,speciesCount,specimenCount,subfamilyCount,subregion
0,Afrotropical,Burundi,5,10.0,country,1,632.0,11.0,0,Burundi,Eastern Africa,Africa,22.0,1102.0,4.0,Eastern Africa
1,Malagasy,Comoros,3,47.0,country,2,8184.0,241.0,0,Comoros,Eastern Africa,Africa,106.0,35896.0,7.0,Eastern Africa
2,Afrotropical,Djibouti,0,7.0,country,3,181.0,3.0,0,Djibouti,Eastern Africa,Africa,6.0,110.0,4.0,Eastern Africa
3,Afrotropical,Eritrea,0,40.0,country,4,4266.0,101.0,2,Eritrea,Eastern Africa,Africa,117.0,6492.0,5.0,Eastern Africa
4,Afrotropical,Ethiopia,32,51.0,country,5,4692.0,93.0,0,Ethiopia,Eastern Africa,Africa,167.0,6134.0,7.0,Eastern Africa
5,Afrotropical,Kenya,64,86.0,country,6,14923.0,596.0,3,Kenya,Eastern Africa,Africa,545.0,23838.0,9.0,Eastern Africa
6,Malagasy,Madagascar,604,64.0,country,7,458.0,5330.0,0,Madagascar,Eastern Africa,Africa,1258.0,121002.0,8.0,Eastern Africa
7,Afrotropical,Malawi,5,27.0,country,8,2027.0,10.0,0,Malawi,Eastern Africa,Africa,42.0,3378.0,5.0,Eastern Africa
8,Malagasy,Mauritius,11,33.0,country,9,6589.0,191.0,1,Mauritius,Eastern Africa,Africa,77.0,26273.0,6.0,Eastern Africa
9,Malagasy,Mayotte,2,39.0,country,10,7623.0,193.0,0,Mayotte,Eastern Africa,Africa,94.0,36404.0,7.0,Eastern Africa
10,Afrotropical,Mozambique,15,100.0,country,11,8478.0,161.0,4,Mozambique,Eastern Africa,Africa,203.0,18398.0,8.0,Eastern Africa
11,Malagasy,Reunion,0,27.0,country,12,5937.0,98.0,4,Reunion,Eastern Africa,Africa,60.0,25682.0,5.0,Eastern Africa
12,Afrotropical,Rwanda,11,21.0,country,13,2032.0,51.0,0,Rwanda,Eastern Africa,Africa,38.0,3745.0,5.0,Eastern Africa
13,Malagasy,Seychelles,14,45.0,country,14,7659.0,289.0,0,Seychelles,Eastern Africa,Africa,104.0,28954.0,10.0,Eastern Africa
14,Afrotropical,Somalia,10,26.0,country,15,1173.0,49.0,1,Somalia,Eastern Africa,Africa,56.0,1035.0,6.0,Eastern Africa
15,Afrotropical,Uganda,18,80.0,country,16,8593.0,113.0,0,Uganda,Eastern Africa,Africa,282.0,15742.0,9.0,Eastern Africa
16,Afrotropical,Zambia,1,52.0,country,18,2855.0,46.0,0,Zambia,Eastern Africa,Africa,82.0,3373.0,5.0,Eastern Africa
17,Afrotropical,Zimbabwe,82,66.0,country,19,9426.0,465.0,0,Zimbabwe,Eastern Africa,Africa,393.0,12415.0,7.0,Eastern Africa
18,Afrotropical,Angola,55,54.0,country,20,5355.0,200.0,0,Angola,Middle Africa,Africa,185.0,8527.0,7.0,Middle Africa
19,Afrotropical,Cameroon,75,93.0,country,21,11445.0,529.0,3,Cameroon,Middle Africa,Africa,439.0,24277.0,10.0,Middle Africa
20,Afrotropical,Central African Republic,6,81.0,country,22,6869.0,257.0,0,Central African Republic,Middle Africa,Africa,230.0,10361.0,10.0,Middle Africa
21,Afrotropical,Chad,2,21.0,country,23,1692.0,5.0,0,Chad,Middle Africa,Africa,27.0,2809.0,4.0,Middle Africa
22,Afrotropical,Congo,34,47.0,country,24,3884.0,148.0,0,Congo,Middle Africa,Africa,155.0,4189.0,7.0,Middle Africa
23,Afrotropical,Democratic Republic of Congo,199,74.0,country,25,11263.0,770.0,0,Democratic Republic of Congo,Middle Africa,Africa,545.0,14256.0,7.0,Middle Africa
24,Afrotropical,Equatorial Guinea,8,26.0,country,26,1594.0,34.0,1,Equatorial Guinea,Middle Africa,Africa,61.0,3054.0,5.0,Middle Africa
25,Afrotropical,Gabon,19,83.0,country,27,8703.0,413.0,0,Gabon,Middle Africa,Africa,320.0,23235.0,9.0,Middle Africa
26,Afrotropical,Sao Tome and Principe,7,17.0,country,28,1288.0,25.0,0,Sao Tome and Principe,Middle Africa,Africa,17.0,6689.0,4.0,Middle Africa
27,Palearctic,Algeria,102,36.0,country,29,4912.0,340.0,0,Algeria,Northern Africa,Africa,253.0,3823.0,8.0,Northern Africa
28,Palearctic,Egypt,19,25.0,country,30,2430.0,66.0,4,Egypt,Northern Africa,Africa,87.0,4065.0,5.0,Northern Africa
29,Palearctic,Morocco,86,39.0,country,32,3612.0,220.0,0,Morocco,Northern Africa,Africa,206.0,8982.0,8.0,Northern Africa
30,Afrotropical,Sudan,26,60.0,country,33,4984.0,81.0,1,Sudan,Northern Africa,Africa,130.0,9083.0,6.0,Northern Africa
31,Palearctic,Tunisia,68,35.0,country,34,3007.0,262.0,0,Tunisia,Northern Africa,Africa,177.0,2702.0,8.0,Northern Africa
32,Afrotropical,Botswana,4,41.0,country,36,3936.0,39.0,0,Botswana,Southern Africa,Africa,91.0,5831.0,6.0,Southern Africa
33,Afrotropical,Lesotho,3,17.0,country,37,1467.0,16.0,0,Lesotho,Southern Africa,Africa,39.0,2770.0,5.0,Southern Africa
34,Afrotropical,Namibia,31,38.0,country,38,4247.0,135.0,0,Namibia,Southern Africa,Africa,139.0,5033.0,7.0,Southern Africa
35,Afrotropical,South Africa,234,89.0,country,39,14588.0,1521.0,2,South Africa,Southern Africa,Africa,747.0,24499.0,9.0,Southern Africa
36,Afrotropical,Swaziland,1,13.0,country,40,583.0,13.0,0,Swaziland,Southern Africa,Africa,14.0,568.0,6.0,Southern Africa
37,Afrotropical,Benin,6,31.0,country,41,2480.0,29.0,0,Benin,Western Africa,Africa,47.0,3072.0,7.0,Western Africa
38,Afrotropical,Burkina Faso,0,12.0,country,42,815.0,1.0,0,Burkina Faso,Western Africa,Africa,16.0,760.0,3.0,Western Africa
39,Afrotropical,Cape Verde,0,9.0,country,43,1212.0,3.0,0,Cape Verde,Western Africa,Africa,13.0,4269.0,4.0,Western Africa
40,Afrotropical,Gambia,0,13.0,country,44,2107.0,7.0,0,Gambia,Western Africa,Africa,26.0,4973.0,5.0,Western Africa
41,Afrotropical,Ghana,29,79.0,country,45,7663.0,256.0,3,Ghana,Western Africa,Africa,300.0,11695.0,10.0,Western Africa
42,Afrotropical,Guinea,21,62.0,country,46,7166.0,106.0,3,Guinea,Western Africa,Africa,198.0,12930.0,7.0,Western Africa
43,Afrotropical,Guinea-Bissau,1,8.0,country,47,646.0,0.0,0,Guinea-Bissau,Western Africa,Africa,15.0,339.0,4.0,Western Africa
44,Afrotropical,Ivory Coast,28,85.0,country,48,8690.0,161.0,1,Ivory Coast,Western Africa,Africa,284.0,13369.0,9.0,Western Africa
45,Afrotropical,Liberia,5,25.0,country,49,2454.0,29.0,2,Liberia,Western Africa,Africa,51.0,4739.0,7.0,Western Africa
46,Afrotropical,Mali,0,25.0,country,50,1667.0,16.0,0,Mali,Western Africa,Africa,46.0,4213.0,5.0,Western Africa
47,Afrotropical,Mauritania,0,2.0,country,51,223.0,1.0,0,Mauritania,Western Africa,Africa,2.0,1304.0,2.0,Western Africa
48,Afrotropical,Niger,5,14.0,country,52,784.0,13.0,0,Niger,Western Africa,Africa,20.0,945.0,5.0,Western Africa
49,Afrotropical,Nigeria,24,56.0,country,53,4523.0,90.0,1,Nigeria,Western Africa,Africa,141.0,8865.0,9.0,Western Africa
50,Afrotropical,Saint Helena,1,14.0,country,54,1552.0,1.0,7,Saint Helena,Western Africa,Africa,13.0,7260.0,4.0,Western Africa
51,Afrotropical,Senegal,10,39.0,country,55,4188.0,36.0,2,Senegal,Western Africa,Africa,95.0,8100.0,7.0,Western Africa
52,Afrotropical,Sierra Leone,3,37.0,country,56,3065.0,45.0,1,Sierra Leone,Western Africa,Africa,70.0,9545.0,5.0,Western Africa
53,Afrotropical,Togo,2,19.0,country,57,1500.0,15.0,1,Togo,Western Africa,Africa,31.0,2877.0,5.0,Western Africa
54,Neotropical,Anguilla,0,7.0,country,58,921.0,0.0,5,Anguilla,Caribbean,Americas,10.0,4465.0,3.0,Caribbean
55,Neotropical,Antigua and Barbuda,1,7.0,country,59,517.0,1.0,2,Antigua and Barbuda,Caribbean,Americas,7.0,6124.0,3.0,Caribbean
56,Neotropical,Aruba,0,10.0,country,60,1314.0,1.0,6,Aruba,Caribbean,Americas,9.0,10614.0,4.0,Caribbean
57,Neotropical,Bahamas,7,34.0,country,61,3501.0,27.0,6,Bahamas,Caribbean,Americas,69.0,21148.0,5.0,Caribbean
58,Neotropical,Barbados,0,34.0,country,62,5949.0,8.0,21,Barbados,Caribbean,Americas,71.0,30063.0,6.0,Caribbean
